Name,Input List,Start Frame,Area AVG,Area STD,RG AVG,RG STD,RDF Peak,Coordination at Minimum
polymerJ71,"[(1, 'E2'), (2, 'E7'), (3, 'S5'), (4, 'E3'), (5, 'E3'), (6, 'S9'), (7, 'E4'), (8, 'S0'), (9, 'S7'), (10, 'E1'), (11, 'S3'), (12, 'E8'), (13, 'E6'), (14, 'S4'), (15, 'S7'), (16, 'S2'), (17, 'S1')]",830.0,14046.439647636900,261.81694032259600,17.448904151916500,0.1714777571890070,1.7845687342781800,4.122584033613450
polymerJ72,"[(1, 'E5'), (2, 'E5'), (3, 'E1'), (4, 'S9'), (5, 'E4'), (6, 'E1'), (7, 'S3'), (8, 'E1'), (9, 'S0'), (10, 'S2'), (11, 'E5'), (12, 'S4'), (13, 'S6'), (14, 'S2'), (15, 'S4')]",,,,,,,
polymerJ73,"[(1, 'E5'), (2, 'E7'), (3, 'E8'), (4, 'E0'), (5, 'S9'), (6, 'E9'), (7, 'S0'), (8, 'S2'), (9, 'S3'), (10, 'S2'), (11, 'E1'), (12, 'E5'), (13, 'S5'), (14, 'S3'), (15, 'S8'), (16, 'E6'), (17, 'S3'), (18, 'E0'), (19, 'S4')]",830.0,14492.875203551000,372.87720661406500,18.556941712243200,0.1749058072754840,1.8417233601274300,4.227961672473870
polymerJ74,"[(1, 'E8'), (2, 'E1'), (3, 'S9'), (4, 'E0'), (5, 'S2'), (6, 'S5'), (7, 'E4'), (8, 'E3'), (9, 'S4'), (10, 'E5'), (11, 'E5'), (12, 'S1'), (13, 'E3'), (14, 'S2'), (15, 'E6'), (16, 'E5'), (17, 'S6'), (18, 'S1'), (19, 'E3'), (20, 'S4')]",830.0,14468.736957618700,366.3814091442000,18.142250694547400,0.1834687208729340,1.7687706423566800,3.9332890365448500
polymerJ75,"[(1, 'S9'), (2, 'E4'), (3, 'E0'), (4, 'S1'), (5, 'S5'), (6, 'E9'), (7, 'E9'), (8, 'E7'), (9, 'S0'), (10, 'E8'), (11, 'E0'), (12, 'E2'), (13, 'E5'), (14, 'E4'), (15, 'S0'), (16, 'E1'), (17, 'E1'), (18, 'E6'), (19, 'E3'), (20, 'E1')]",,,,,,,
polymerJ76,"[(1, 'S7'), (2, 'E5'), (3, 'S6'), (4, 'E6'), (5, 'S3'), (6, 'E6'), (7, 'S3'), (8, 'E0'), (9, 'E1'), (10, 'E9'), (11, 'S0'), (12, 'S0'), (13, 'E4'), (14, 'E8'), (15, 'S6'), (16, 'E5'), (17, 'S6'), (18, 'E4'), (19, 'E6')]",830.0,15293.75355319150,328.94315598882800,18.36140833377840,0.1485399058216670,1.806816387013260,4.132407407407410
polymerJ77,"[(1, 'S0'), (2, 'E1'), (3, 'E9'), (4, 'S2'), (5, 'S2'), (6, 'S2'), (7, 'E1'), (8, 'E1'), (9, 'S3'), (10, 'E5'), (11, 'E7'), (12, 'S1'), (13, 'S6'), (14, 'S0'), (15, 'E5'), (16, 'S6')]",830.0,10599.756405155500,294.1635550057150,15.731513837405600,0.1464764991552,1.794811292134970,3.957044334975370
polymerJ78,"[(1, 'E0'), (2, 'S5'), (3, 'E7'), (4, 'E8'), (5, 'S4'), (6, 'S8'), (7, 'E2'), (8, 'S9'), (9, 'E3'), (10, 'E3'), (11, 'E5'), (12, 'E6'), (13, 'S6'), (14, 'E2'), (15, 'E9'), (16, 'E4')]",,,,,,,
polymerJ79,"[(1, 'S8'), (2, 'S1'), (3, 'S6'), (4, 'S4'), (5, 'S9'), (6, 'S9'), (7, 'E8'), (8, 'S5'), (9, 'S8'), (10, 'S6'), (11, 'S2'), (12, 'S2'), (13, 'S1'), (14, 'S6'), (15, 'E4'), (16, 'S5'), (17, 'E4'), (18, 'E6'), (19, 'S4')]",830.0,17629.1071198344,373.51853002765100,20.764151111330300,0.2080212037105830,1.57003370425972,3.540194805194810
polymerJ8,"[(1, 'S3'), (2, 'S4'), (3, 'E4'), (4, 'E3'), (5, 'S5'), (6, 'E0'), (7, 'E1'), (8, 'S4'), (9, 'S9'), (10, 'S8'), (11, 'S0')]",830.0,9077.167696295150,280.0776578568900,17.447384811810100,0.2057683700171750,1.644797213986370,3.733035714285710
polymerJ80,"[(1, 'E3'), (2, 'S2'), (3, 'S5'), (4, 'S2'), (5, 'S2'), (6, 'S9'), (7, 'E7'), (8, 'S9'), (9, 'S4'), (10, 'S6'), (11, 'E0'), (12, 'E0'), (13, 'E9'), (14, 'S4'), (15, 'S6'), (16, 'S7'), (17, 'E1')]",830.0,16052.194255746800,399.4870909721320,18.9595125075749,0.1199581042419860,1.684443791782790,4.190750000000000
polymerJ81,"[(1, 'E6'), (2, 'S9'), (3, 'E2'), (4, 'S3'), (5, 'E7'), (6, 'S4'), (7, 'S0'), (8, 'S1'), (9, 'S7'), (10, 'E1'), (11, 'E3'), (12, 'S3'), (13, 'S5'), (14, 'S7'), (15, 'E9'), (16, 'S2'), (17, 'S1'), (18, 'S5'), (19, 'S7'), (20, 'S1')]",830.0,16926.14537385420,339.43980653845200,19.5805464894431,0.1055415151765460,1.7393213907789800,3.933903061224490
polymerJ82,"[(1, 'E9'), (2, 'E2'), (3, 'S4'), (4, 'E2'), (5, 'E8'), (6, 'E7'), (7, 'E0'), (8, 'E7'), (9, 'S0'), (10, 'E5'), (11, 'S7'), (12, 'E2'), (13, 'S0'), (14, 'E8'), (15, 'S5'), (16, 'E5')]",,,,,,,
polymerJ83,"[(1, 'S4'), (2, 'E0'), (3, 'S5'), (4, 'S3'), (5, 'S0'), (6, 'E2'), (7, 'S5'), (8, 'S1'), (9, 'E9'), (10, 'S0'), (11, 'E1'), (12, 'S7'), (13, 'S3'), (14, 'S9'), (15, 'E4'), (16, 'E9'), (17, 'E8')]",830.0,12330.943731746800,377.952682477764,18.37158676828660,0.1341637775392210,1.9284277275422100,4.25151515151515
polymerJ84,"[(1, 'S8'), (2, 'S9'), (3, 'S4'), (4, 'E9'), (5, 'E3'), (6, 'S2'), (7, 'E7'), (8, 'E5'), (9, 'S6'), (10, 'E2'), (11, 'E2'), (12, 'E0'), (13, 'E3'), (14, 'E3'), (15, 'S7'), (16, 'S0'), (17, 'E1')]",830.0,12647.854725095500,330.11158214835500,18.266609525680500,0.1575590348309120,1.7966481992143400,4.1556938775510200
